Loại cây trồng,Điều kiện thời tiết,Hành động khuyến nghị,Mô tả chi tiết
Lúa,Có áp thấp nhiệt đới,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của vàng lá
Bắp cải,Gió mạnh,Tỉa thưa cây con,Tăng khả năng chống chịu với đạo ôn
Lúa,Sương mù dày,Đào mương xung quanh ruộng,Bảo vệ cây khỏi héo rũ
Dưa leo,Nhiều ngày nắng,Bón phân hữu cơ,Bảo vệ cây khỏi thối rễ
Dưa leo,Trời âm u,Dừng bón phân đạm,Tăng khả năng chống chịu với bạc lá
Dưa leo,Trời âm u,Tăng cường thoát nước,Tăng khả năng chống chịu với sâu xanh
Mía,Mưa lớn,Che chắn bằng lưới,Giảm nguy cơ ngập úng
Chuối,Độ ẩm thấp,Bắt sâu thủ công,Giúp cây tránh sâu xanh
Cà tím,Nắng gắt,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của nảy mầm kém
Dưa hấu,Nhiệt độ thấp < 15°C,Dừng bón phân đạm,Giảm nguy cơ cháy lá
Cà chua,Nhiệt độ dao động mạnh trong ngày,Tưới nước định kỳ,Giảm nguy cơ thiếu nước
Cải bẹ,Độ ẩm thấp,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi ngập úng
Chuối,Độ ẩm không khí cao,Dừng bón phân đạm,Bảo vệ cây khỏi sốc nhiệt
Thanh long,Nhiệt độ cao > 35°C,Trì hoãn gieo trồng,Giúp cây tránh sốc nhiệt
Thanh long,Nhiệt độ thấp < 15°C,Đào mương xung quanh ruộng,Giúp cây tránh sâu xanh
Xoài,Nắng gắt,Dừng bón phân đạm,Tăng khả năng chống chịu với nấm bệnh
Sắn,Mưa lớn,Bón phân hữu cơ,Giúp cây tránh nảy mầm kém
Chuối,Nhiều ngày nắng,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của nấm bệnh
Xoài,Sương mù dày,Tưới nước định kỳ,Tăng khả năng chống chịu với cháy lá
Thanh long,Nắng gắt,Tỉa thưa cây con,Hạn chế ảnh hưởng của ngập úng
Đậu phụng,Trời nhiều mây,Bắt sâu thủ công,Bảo vệ cây khỏi sâu xanh
Chuối,Mưa lớn,Bón phân hữu cơ,Hạn chế ảnh hưởng của cháy lá
Xoài,Có áp thấp nhiệt đới,Che chắn bằng lưới,Giảm nguy cơ sâu xanh
Mía,Nhiệt độ dao động mạnh trong ngày,Che chắn bằng lưới,Giúp cây tránh đạo ôn
Xoài,Nhiều ngày nắng,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của cháy lá
Cà tím,Nhiệt độ thấp < 15°C,Tỉa thưa cây con,Hạn chế ảnh hưởng của rụng hoa
Lúa,Nhiệt độ dao động mạnh trong ngày,Tăng cường thoát nước,Hạn chế ảnh hưởng của héo rũ
Ớt,Nhiệt độ dao động mạnh trong ngày,Phun thuốc phòng bệnh,Giảm nguy cơ nấm bệnh
Ngô,Nắng gắt,Tăng cường thoát nước,Hạn chế ảnh hưởng của thiếu nước
Cà chua,Trời lạnh buổi sáng,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của héo rũ
Dưa leo,Nhiều ngày nắng,Che chắn bằng lưới,Hạn chế ảnh hưởng của rụng hoa
Ngô,Nhiệt độ thấp < 15°C,Dừng bón phân đạm,Bảo vệ cây khỏi bạc lá
Ớt,Độ ẩm không khí cao,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi suy kiệt
Cà chua,Độ ẩm thấp,Tưới nhỏ giọt,Giảm nguy cơ vàng lá
Cải bẹ,Mưa lớn,Tăng cường thoát nước,Bảo vệ cây khỏi suy kiệt
Chuối,Nắng nhẹ sau mưa,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của suy kiệt
Cà chua,Nhiệt độ cao > 35°C,Trì hoãn gieo trồng,Bảo vệ cây khỏi nấm bệnh
Chuối,Gió mạnh,Đào mương xung quanh ruộng,Giúp cây tránh vàng lá
Ớt,Nhiệt độ cao > 35°C,Bắt sâu thủ công,Giúp cây tránh héo rũ
Ớt,Mưa rào nhẹ,Đào mương xung quanh ruộng,Giúp cây tránh nảy mầm kém
Dưa hấu,Trời âm u,Bắt sâu thủ công,Giúp cây tránh thối rễ
Cà tím,Nắng gắt,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với cháy lá
Sắn,Có áp thấp nhiệt đới,Bón phân hữu cơ,Giúp cây tránh thiếu nước
Dưa leo,Nhiệt độ dao động mạnh trong ngày,Che chắn bằng lưới,Bảo vệ cây khỏi cháy lá
Chuối,Độ ẩm không khí cao,Bắt sâu thủ công,Bảo vệ cây khỏi suy kiệt
Sắn,Gió mạnh,Dừng bón phân đạm,Bảo vệ cây khỏi cháy lá
Ớt,Nắng gắt,Bắt sâu thủ công,Giảm nguy cơ nảy mầm kém
Dưa leo,Mưa rào nhẹ,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh vàng lá
Lúa,Nhiệt độ cao > 35°C,Bón phân hữu cơ,Giúp cây tránh ngập úng
Mía,Nhiều ngày nắng,Tưới nước định kỳ,Giúp cây tránh sâu xanh
Dưa hấu,Gió mạnh,Bắt sâu thủ công,Bảo vệ cây khỏi sốc nhiệt
Cà chua,Nhiệt độ dao động mạnh trong ngày,Tưới nhỏ giọt,Giúp cây tránh nấm bệnh
Bắp cải,Nhiệt độ cao > 35°C,Bón vôi cải tạo đất,Tăng khả năng chống chịu với thối rễ
Dưa leo,Mưa lớn,Phun chế phẩm sinh học,Bảo vệ cây khỏi sâu xanh
Bắp cải,Trời nhiều mây,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ nấm bệnh
Rau màu,Nhiều ngày nắng,Phun chế phẩm sinh học,Bảo vệ cây khỏi vàng lá
Cải bẹ,Gió mạnh,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của thiếu nước
Ngô,Nhiệt độ cao > 35°C,Bắt sâu thủ công,Tăng khả năng chống chịu với cháy lá
Cải bẹ,Nhiệt độ thấp < 15°C,Trì hoãn gieo trồng,Giúp cây tránh rụng hoa
Bắp cải,Trời lạnh buổi sáng,Tưới nhỏ giọt,Bảo vệ cây khỏi thối rễ
Dưa leo,Mưa rào nhẹ,Tưới nhỏ giọt,Tăng khả năng chống chịu với héo rũ
Dưa leo,Nhiệt độ dao động mạnh trong ngày,Trì hoãn gieo trồng,Giảm nguy cơ sâu xanh
Cà chua,Độ ẩm không khí cao,Trì hoãn gieo trồng,Giảm nguy cơ thối rễ
Bắp cải,Gió mạnh,Phun chế phẩm sinh học,Bảo vệ cây khỏi đạo ôn
Chuối,Nhiều ngày nắng,Tưới nước định kỳ,Hạn chế ảnh hưởng của ngập úng
Cải bẹ,Độ ẩm không khí cao,Tỉa thưa cây con,Hạn chế ảnh hưởng của nấm bệnh
Chuối,Gió mạnh,Tăng cường thoát nước,Bảo vệ cây khỏi sốc nhiệt
Cà tím,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Giảm nguy cơ thối rễ
Lúa,Trời âm u,Bón vôi cải tạo đất,Bảo vệ cây khỏi bạc lá
Mía,Nhiệt độ cao > 35°C,Phun chế phẩm sinh học,Bảo vệ cây khỏi suy kiệt
Thanh long,Nắng gắt,Che chắn bằng lưới,Hạn chế ảnh hưởng của thiếu nước
Thanh long,Độ ẩm thấp,Tưới nước định kỳ,Giúp cây tránh cháy lá
Sắn,Trời lạnh buổi sáng,Bón vôi cải tạo đất,Tăng khả năng chống chịu với thối rễ
Sắn,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Giúp cây tránh thiếu nước
Sắn,Trời âm u,Dừng bón phân đạm,Tăng khả năng chống chịu với sốc nhiệt
Cải bẹ,Nhiều ngày nắng,Bắt sâu thủ công,Tăng khả năng chống chịu với cháy lá
Lúa,Nắng gắt,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với sốc nhiệt
Dưa leo,Mưa lớn,Tưới nhỏ giọt,Bảo vệ cây khỏi bạc lá
Dưa leo,Độ ẩm không khí cao,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của sâu xanh
Sắn,Trời lạnh buổi sáng,Che phủ rơm/gỗ mục,Giảm nguy cơ thối rễ
Xoài,Trời lạnh buổi sáng,Tưới nước định kỳ,Hạn chế ảnh hưởng của nảy mầm kém
Đậu phụng,Sương mù dày,Bón vôi cải tạo đất,Giúp cây tránh thối rễ
Xoài,Có áp thấp nhiệt đới,Phun chế phẩm sinh học,Giảm nguy cơ vàng lá
Ớt,Nhiệt độ cao > 35°C,Dừng bón phân đạm,Giúp cây tránh thối rễ
Đậu phụng,Mưa lớn,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của ngập úng
Sắn,Mưa rào nhẹ,Bón phân hữu cơ,Hạn chế ảnh hưởng của rụng hoa
Thanh long,Nắng gắt,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của sốc nhiệt
Cải bẹ,Nhiệt độ dao động mạnh trong ngày,Phun chế phẩm sinh học,Bảo vệ cây khỏi suy kiệt
Cà tím,Mưa rào nhẹ,Tỉa thưa cây con,Hạn chế ảnh hưởng của nảy mầm kém
Rau màu,Độ ẩm không khí cao,Tăng cường thoát nước,Hạn chế ảnh hưởng của nấm bệnh
Sắn,Có áp thấp nhiệt đới,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với nảy mầm kém
Thanh long,Trời âm u,Bắt sâu thủ công,Bảo vệ cây khỏi vàng lá
Cải bẹ,Nhiệt độ dao động mạnh trong ngày,Tưới nước định kỳ,Tăng khả năng chống chịu với vàng lá
Lúa,Độ ẩm thấp,Phun chế phẩm sinh học,Bảo vệ cây khỏi thiếu nước
Bắp cải,Trời nhiều mây,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh héo rũ
Ngô,Nhiệt độ dao động mạnh trong ngày,Bắt sâu thủ công,Bảo vệ cây khỏi suy kiệt
Ớt,Sương mù dày,Bón phân hữu cơ,Giúp cây tránh bạc lá
Xoài,Trời nhiều mây,Bón phân hữu cơ,Hạn chế ảnh hưởng của nấm bệnh
Mía,Sương mù dày,Phun chế phẩm sinh học,Bảo vệ cây khỏi suy kiệt
Thanh long,Nhiệt độ thấp < 15°C,Dừng bón phân đạm,Giảm nguy cơ đạo ôn
Chuối,Nhiều ngày nắng,Trì hoãn gieo trồng,Giảm nguy cơ suy kiệt
Cà chua,Trời lạnh buổi sáng,Tưới nước định kỳ,Giúp cây tránh thối rễ
Sắn,Trời nhiều mây,Theo dõi sát thời tiết,Giúp cây tránh sâu xanh
Bắp cải,Gió mạnh,Tăng cường thoát nước,Tăng khả năng chống chịu với nảy mầm kém
Rau màu,Độ ẩm không khí cao,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của cháy lá
Mía,Mưa rào nhẹ,Phun thuốc phòng bệnh,Bảo vệ cây khỏi rụng hoa
Bắp cải,Gió mạnh,Che phủ rơm/gỗ mục,Giúp cây tránh ngập úng
Chuối,Mưa rào nhẹ,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ héo rũ
Rau màu,Nhiệt độ thấp < 15°C,Bón phân hữu cơ,Giảm nguy cơ đạo ôn
Ngô,Sương mù dày,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với rụng hoa
Ngô,Mưa rào nhẹ,Tưới nước định kỳ,Bảo vệ cây khỏi bạc lá
Bắp cải,Nhiệt độ thấp < 15°C,Bón vôi cải tạo đất,Bảo vệ cây khỏi thối rễ
Lúa,Nhiều ngày nắng,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của rụng hoa
Rau màu,Nắng nhẹ sau mưa,Bón phân hữu cơ,Giúp cây tránh bạc lá
Mía,Trời âm u,Trì hoãn gieo trồng,Giúp cây tránh nảy mầm kém
Đậu phụng,Có áp thấp nhiệt đới,Bắt sâu thủ công,Tăng khả năng chống chịu với rụng hoa
Chuối,Mưa lớn,Tưới nhỏ giọt,Hạn chế ảnh hưởng của rụng hoa
Rau màu,Nhiệt độ thấp < 15°C,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với cháy lá
Mía,Trời lạnh buổi sáng,Dừng bón phân đạm,Tăng khả năng chống chịu với cháy lá
Cải bẹ,Có áp thấp nhiệt đới,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với cháy lá
Cà chua,Mưa rào nhẹ,Che chắn bằng lưới,Hạn chế ảnh hưởng của nấm bệnh
Dưa leo,Mưa rào nhẹ,Phun chế phẩm sinh học,Giảm nguy cơ suy kiệt
Thanh long,Nắng nhẹ sau mưa,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi thối rễ
Rau màu,Nhiều ngày nắng,Trì hoãn gieo trồng,Bảo vệ cây khỏi vàng lá
Cà tím,Mưa lớn,Tỉa thưa cây con,Hạn chế ảnh hưởng của sâu xanh
Đậu phụng,Nhiệt độ cao > 35°C,Phun thuốc phòng bệnh,Giảm nguy cơ thối rễ
Rau màu,Mưa rào nhẹ,Tưới nhỏ giọt,Giúp cây tránh ngập úng
Ớt,Trời nhiều mây,Phun chế phẩm sinh học,Bảo vệ cây khỏi nảy mầm kém
Bắp cải,Trời nhiều mây,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với sốc nhiệt
Ngô,Có áp thấp nhiệt đới,Bón vôi cải tạo đất,Tăng khả năng chống chịu với suy kiệt
Ngô,Nắng gắt,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi nấm bệnh
Dưa leo,Nắng gắt,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi nảy mầm kém
Lúa,Độ ẩm thấp,Tưới nhỏ giọt,Bảo vệ cây khỏi suy kiệt
Ngô,Gió mạnh,Tỉa thưa cây con,Giảm nguy cơ vàng lá
Ngô,Độ ẩm không khí cao,Bón vôi cải tạo đất,Bảo vệ cây khỏi suy kiệt
Cà chua,Mưa rào nhẹ,Tỉa thưa cây con,Bảo vệ cây khỏi đạo ôn
Bắp cải,Độ ẩm không khí cao,Trì hoãn gieo trồng,Giảm nguy cơ rụng hoa
Đậu phụng,Mưa lớn,Trì hoãn gieo trồng,Giảm nguy cơ sâu xanh
Cải bẹ,Nhiệt độ thấp < 15°C,Bón phân hữu cơ,Tăng khả năng chống chịu với bạc lá
Cà chua,Sương mù dày,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của đạo ôn
Lúa,Gió mạnh,Bắt sâu thủ công,Tăng khả năng chống chịu với sâu xanh
Cải bẹ,Độ ẩm không khí cao,Tưới nhỏ giọt,Tăng khả năng chống chịu với nấm bệnh
Mía,Nắng gắt,Phun chế phẩm sinh học,Giảm nguy cơ cháy lá
Rau màu,Mưa lớn,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của ngập úng
Rau màu,Có áp thấp nhiệt đới,Bắt sâu thủ công,Giảm nguy cơ suy kiệt
Dưa leo,Sương mù dày,Che chắn bằng lưới,Hạn chế ảnh hưởng của ngập úng
Rau màu,Trời lạnh buổi sáng,Tưới nước định kỳ,Giảm nguy cơ bạc lá
Xoài,Trời âm u,Phun chế phẩm sinh học,Giảm nguy cơ thối rễ
Ớt,Độ ẩm thấp,Tăng cường thoát nước,Hạn chế ảnh hưởng của héo rũ
Lúa,Trời nhiều mây,Tưới nhỏ giọt,Giúp cây tránh cháy lá
Lúa,Độ ẩm thấp,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với sâu xanh
Dưa leo,Nắng nhẹ sau mưa,Tưới nước định kỳ,Hạn chế ảnh hưởng của vàng lá
Đậu phụng,Nhiệt độ dao động mạnh trong ngày,Đào mương xung quanh ruộng,Giảm nguy cơ rụng hoa
Dưa leo,Nhiều ngày nắng,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ thối rễ
Cà chua,Mưa lớn,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của thối rễ
Sắn,Sương mù dày,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của vàng lá
Ngô,Trời âm u,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh vàng lá
Mía,Sương mù dày,Bắt sâu thủ công,Hạn chế ảnh hưởng của héo rũ
Dưa hấu,Nhiệt độ cao > 35°C,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với bạc lá
Thanh long,Có áp thấp nhiệt đới,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của thiếu nước
Dưa leo,Nhiệt độ thấp < 15°C,Tăng cường thoát nước,Giúp cây tránh vàng lá
Rau màu,Nhiệt độ thấp < 15°C,Theo dõi sát thời tiết,Giúp cây tránh nấm bệnh
Dưa hấu,Mưa rào nhẹ,Theo dõi sát thời tiết,Giảm nguy cơ đạo ôn
Ngô,Sương mù dày,Che chắn bằng lưới,Hạn chế ảnh hưởng của sâu xanh
Chuối,Độ ẩm thấp,Bắt sâu thủ công,Bảo vệ cây khỏi bạc lá
Sắn,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Bảo vệ cây khỏi suy kiệt
Ngô,Mưa lớn,Trì hoãn gieo trồng,Giảm nguy cơ cháy lá
Chuối,Độ ẩm thấp,Bón phân hữu cơ,Bảo vệ cây khỏi nấm bệnh
Dưa leo,Trời âm u,Tưới nhỏ giọt,Giảm nguy cơ cháy lá
Dưa leo,Nhiều ngày nắng,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của sâu xanh
Thanh long,Độ ẩm không khí cao,Tỉa thưa cây con,Giúp cây tránh sâu xanh
Cà tím,Nắng nhẹ sau mưa,Phun chế phẩm sinh học,Bảo vệ cây khỏi sốc nhiệt
Sắn,Có áp thấp nhiệt đới,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của sốc nhiệt
Ngô,Mưa rào nhẹ,Phun chế phẩm sinh học,Giúp cây tránh suy kiệt
Cà chua,Nhiệt độ cao > 35°C,Trì hoãn gieo trồng,Giảm nguy cơ vàng lá
Mía,Trời nhiều mây,Dừng bón phân đạm,Tăng khả năng chống chịu với cháy lá
Sắn,Nắng gắt,Phun chế phẩm sinh học,Bảo vệ cây khỏi vàng lá
Xoài,Nhiều ngày nắng,Trì hoãn gieo trồng,Giảm nguy cơ vàng lá
Lúa,Nhiệt độ thấp < 15°C,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của vàng lá
Bắp cải,Có áp thấp nhiệt đới,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với vàng lá
Thanh long,Có áp thấp nhiệt đới,Bón vôi cải tạo đất,Tăng khả năng chống chịu với cháy lá
Xoài,Sương mù dày,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của vàng lá
Thanh long,Nắng nhẹ sau mưa,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với thối rễ
Cà chua,Nhiệt độ cao > 35°C,Phun thuốc phòng bệnh,Giúp cây tránh sâu xanh
Chuối,Nhiều ngày nắng,Đào mương xung quanh ruộng,Giảm nguy cơ thối rễ
Đậu phụng,Sương mù dày,Bón vôi cải tạo đất,Giảm nguy cơ sâu xanh
Lúa,Độ ẩm không khí cao,Tăng cường thoát nước,Giảm nguy cơ đạo ôn
Rau màu,Độ ẩm thấp,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của cháy lá
Bắp cải,Trời lạnh buổi sáng,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với thối rễ
Rau màu,Mưa rào nhẹ,Bắt sâu thủ công,Giúp cây tránh ngập úng
Rau màu,Độ ẩm không khí cao,Tưới nhỏ giọt,Giảm nguy cơ bạc lá
Đậu phụng,Nhiều ngày nắng,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của nấm bệnh
Đậu phụng,Trời âm u,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi vàng lá
Ớt,Gió mạnh,Bắt sâu thủ công,Tăng khả năng chống chịu với sốc nhiệt
Dưa leo,Mưa rào nhẹ,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của héo rũ
Lúa,Sương mù dày,Dừng bón phân đạm,Hạn chế ảnh hưởng của thiếu nước
Dưa hấu,Gió mạnh,Dừng bón phân đạm,Giúp cây tránh thiếu nước
Dưa leo,Mưa lớn,Che phủ rơm/gỗ mục,Giúp cây tránh bạc lá
Mía,Gió mạnh,Đào mương xung quanh ruộng,Giúp cây tránh ngập úng
Cà tím,Trời nhiều mây,Bón vôi cải tạo đất,Giảm nguy cơ nảy mầm kém
Dưa hấu,Nắng gắt,Dừng bón phân đạm,Bảo vệ cây khỏi ngập úng
Dưa leo,Nắng nhẹ sau mưa,Bắt sâu thủ công,Tăng khả năng chống chịu với nấm bệnh
Cải bẹ,Trời nhiều mây,Tăng cường thoát nước,Hạn chế ảnh hưởng của thiếu nước
Ớt,Nhiệt độ thấp < 15°C,Bón vôi cải tạo đất,Giúp cây tránh đạo ôn
Cà tím,Trời nhiều mây,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của cháy lá
Cà chua,Trời âm u,Che phủ rơm/gỗ mục,Giảm nguy cơ đạo ôn
Mía,Nhiệt độ dao động mạnh trong ngày,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với vàng lá
Mía,Nắng gắt,Che chắn bằng lưới,Tăng khả năng chống chịu với rụng hoa
Mía,Trời âm u,Theo dõi sát thời tiết,Giúp cây tránh ngập úng
Xoài,Trời lạnh buổi sáng,Che chắn bằng lưới,Giúp cây tránh rụng hoa
Cải bẹ,Nắng nhẹ sau mưa,Che chắn bằng lưới,Giúp cây tránh suy kiệt
Thanh long,Độ ẩm thấp,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của đạo ôn
Cà chua,Nhiều ngày nắng,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của thối rễ
Dưa leo,Nhiệt độ dao động mạnh trong ngày,Tỉa thưa cây con,Tăng khả năng chống chịu với nấm bệnh
Bắp cải,Trời nhiều mây,Bón vôi cải tạo đất,Tăng khả năng chống chịu với vàng lá
Cà tím,Nắng gắt,Bắt sâu thủ công,Giúp cây tránh thối rễ
Cà tím,Trời nhiều mây,Bắt sâu thủ công,Tăng khả năng chống chịu với nấm bệnh
Cà chua,Nhiệt độ dao động mạnh trong ngày,Tưới nhỏ giọt,Tăng khả năng chống chịu với thối rễ
Cà chua,Mưa rào nhẹ,Bắt sâu thủ công,Giúp cây tránh đạo ôn
Ớt,Độ ẩm không khí cao,Phun chế phẩm sinh học,Giúp cây tránh vàng lá
Cải bẹ,Độ ẩm không khí cao,Bón vôi cải tạo đất,Bảo vệ cây khỏi rụng hoa
Ớt,Sương mù dày,Tưới nhỏ giọt,Giúp cây tránh rụng hoa
Xoài,Sương mù dày,Tưới nhỏ giọt,Bảo vệ cây khỏi bạc lá
Chuối,Gió mạnh,Tưới nhỏ giọt,Bảo vệ cây khỏi sâu xanh
Ngô,Nhiệt độ thấp < 15°C,Phun thuốc phòng bệnh,Giúp cây tránh đạo ôn
Chuối,Nhiều ngày nắng,Tưới nước định kỳ,Giảm nguy cơ nảy mầm kém
Mía,Độ ẩm thấp,Tỉa thưa cây con,Hạn chế ảnh hưởng của đạo ôn
Ngô,Nhiều ngày nắng,Tăng cường thoát nước,Bảo vệ cây khỏi đạo ôn
Cà chua,Nhiệt độ dao động mạnh trong ngày,Tưới nhỏ giọt,Tăng khả năng chống chịu với thiếu nước
Rau màu,Độ ẩm không khí cao,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của sốc nhiệt
Dưa leo,Nhiều ngày nắng,Tưới nhỏ giọt,Giảm nguy cơ héo rũ
Rau màu,Nhiệt độ thấp < 15°C,Phun chế phẩm sinh học,Giúp cây tránh suy kiệt
Dưa hấu,Trời nhiều mây,Phun chế phẩm sinh học,Giảm nguy cơ cháy lá
Rau màu,Sương mù dày,Tỉa thưa cây con,Giúp cây tránh nảy mầm kém
Đậu phụng,Độ ẩm không khí cao,Bón vôi cải tạo đất,Bảo vệ cây khỏi nảy mầm kém
Dưa hấu,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của nấm bệnh
Lúa,Nhiệt độ dao động mạnh trong ngày,Tưới nhỏ giọt,Giảm nguy cơ suy kiệt
Xoài,Độ ẩm thấp,Tưới nhỏ giọt,Hạn chế ảnh hưởng của suy kiệt
Ngô,Mưa lớn,Bón vôi cải tạo đất,Giúp cây tránh nảy mầm kém
Sắn,Trời lạnh buổi sáng,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với nảy mầm kém
Thanh long,Trời âm u,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với nảy mầm kém
Bắp cải,Độ ẩm thấp,Tưới nước định kỳ,Bảo vệ cây khỏi sâu xanh
Cà chua,Nắng nhẹ sau mưa,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của sốc nhiệt
Rau màu,Nhiệt độ dao động mạnh trong ngày,Bón vôi cải tạo đất,Giảm nguy cơ suy kiệt
Lúa,Trời lạnh buổi sáng,Trì hoãn gieo trồng,Tăng khả năng chống chịu với đạo ôn
Cà tím,Trời lạnh buổi sáng,Trì hoãn gieo trồng,Bảo vệ cây khỏi suy kiệt
Bắp cải,Trời lạnh buổi sáng,Phun thuốc phòng bệnh,Bảo vệ cây khỏi cháy lá
Ngô,Độ ẩm không khí cao,Che chắn bằng lưới,Hạn chế ảnh hưởng của nảy mầm kém
Bắp cải,Gió mạnh,Bón phân hữu cơ,Bảo vệ cây khỏi vàng lá
Đậu phụng,Nhiệt độ dao động mạnh trong ngày,Bón vôi cải tạo đất,Giúp cây tránh sốc nhiệt
Rau màu,Độ ẩm thấp,Đào mương xung quanh ruộng,Giảm nguy cơ cháy lá
Cà chua,Trời nhiều mây,Tỉa thưa cây con,Hạn chế ảnh hưởng của cháy lá
Rau màu,Mưa rào nhẹ,Dừng bón phân đạm,Tăng khả năng chống chịu với nảy mầm kém
Xoài,Nhiệt độ thấp < 15°C,Tưới nhỏ giọt,Giúp cây tránh rụng hoa
Cải bẹ,Nắng nhẹ sau mưa,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ nấm bệnh
Chuối,Nhiệt độ dao động mạnh trong ngày,Tưới nhỏ giọt,Bảo vệ cây khỏi héo rũ
Mía,Nhiệt độ cao > 35°C,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ nấm bệnh
Mía,Có áp thấp nhiệt đới,Tưới nhỏ giọt,Giúp cây tránh thiếu nước
Cà tím,Trời lạnh buổi sáng,Bón phân hữu cơ,Hạn chế ảnh hưởng của ngập úng
Chuối,Nhiệt độ thấp < 15°C,Tỉa thưa cây con,Hạn chế ảnh hưởng của nảy mầm kém
Dưa hấu,Trời lạnh buổi sáng,Dừng bón phân đạm,Hạn chế ảnh hưởng của suy kiệt
Sắn,Độ ẩm không khí cao,Dừng bón phân đạm,Tăng khả năng chống chịu với nấm bệnh
Dưa leo,Độ ẩm thấp,Trì hoãn gieo trồng,Giảm nguy cơ thiếu nước
Chuối,Nhiệt độ thấp < 15°C,Dừng bón phân đạm,Hạn chế ảnh hưởng của nấm bệnh
Bắp cải,Có áp thấp nhiệt đới,Tỉa thưa cây con,Hạn chế ảnh hưởng của héo rũ
Dưa hấu,Gió mạnh,Tỉa thưa cây con,Hạn chế ảnh hưởng của suy kiệt
Xoài,Sương mù dày,Tăng cường thoát nước,Giúp cây tránh suy kiệt
Sắn,Nhiều ngày nắng,Tưới nhỏ giọt,Bảo vệ cây khỏi nảy mầm kém
Chuối,Mưa rào nhẹ,Tưới nước định kỳ,Tăng khả năng chống chịu với sâu xanh
Ớt,Mưa rào nhẹ,Phun chế phẩm sinh học,Giảm nguy cơ suy kiệt
Ớt,Sương mù dày,Phun chế phẩm sinh học,Tăng khả năng chống chịu với suy kiệt
Thanh long,Sương mù dày,Tăng cường thoát nước,Giảm nguy cơ sốc nhiệt
Rau màu,Có áp thấp nhiệt đới,Che chắn bằng lưới,Giảm nguy cơ ngập úng
